year,country_code,country,exports_usd,imports_usd,trade_balance_usd,export_yoy_pct,import_yoy_pct,risk_signal,source
2019,KOR,대한민국,648610576583,602460189255,46150387327,-9.88,-6.33,수출 5% 이상 감소; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2020,KOR,대한민국,603713417774,539436709934,64276707840,-6.92,-10.46,수출 5% 이상 감소,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2021,KOR,대한민국,764083221346,698601348291,65481873055,26.56,29.51,수입 8% 이상 증가,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2022,KOR,대한민국,815019022384,814936711591,82310794,6.67,16.65,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2023,KOR,대한민국,762299062736,755197457230,7101605507,-6.47,-7.33,수출 5% 이상 감소,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2024,KOR,대한민국,831889172091,755486201522,76402970569,9.13,0.04,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2019,USA,미국,2539391000000,3116681000000,-577290000000,0.05,-0.46,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2020,USA,미국,2151139000000,2777341000000,-626202000000,-15.29,-10.89,수출 5% 이상 감소; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2021,USA,미국,2555430000000,3415459000000,-860029000000,18.79,22.98,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2022,USA,미국,3017379000000,3976314000000,-958935000000,18.08,16.42,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2023,USA,미국,3052469000000,3849811000000,-797342000000,1.16,-3.18,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2024,USA,미국,3193500000000,4103100000000,-909600000000,4.62,6.58,무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2019,CHN,중국,2628941104658,2496153305903,132787798755,-1.00,-2.65,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2020,CHN,중국,2729884575164,2374737462778,355147112386,3.84,-4.86,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2021,CHN,중국,3554107780957,3093278397249,460829383708,30.19,30.26,수입 8% 이상 증가,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2022,CHN,중국,3717887818647,3140040863536,577846955111,4.61,1.51,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2023,CHN,중국,3490089712363,3106457704279,383632008084,-6.13,-1.07,수출 5% 이상 감소; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2024,CHN,중국,3753056083349,3219342570126,533713513223,7.53,3.63,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2019,JPN,일본,893782209080,908591904961,-14809695880,-3.19,-1.48,무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2020,JPN,일본,785057625362,798645128767,-13587503404,-12.16,-12.10,수출 5% 이상 감소,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2021,JPN,일본,912549013983,938755726387,-26206712404,16.24,17.54,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2022,JPN,일본,918408424579,1076977967309,-158569542730,0.64,14.72,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2023,JPN,일본,920644083096,981637982326,-60993899231,0.24,-8.85,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2024,JPN,일본,917043674687,952041559318,-34997884631,-0.39,-3.02,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2019,DEU,독일,1676629137012,1454588084839,222041052173,-2.72,-2.08,무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2020,DEU,독일,1541867660412,1332733837256,209133823156,-8.04,-8.38,수출 5% 이상 감소; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2021,DEU,독일,1851846071996,1628851031194,222995040802,20.10,22.22,수입 8% 이상 증가,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2022,DEU,독일,1916859170749,1813049636002,103809534747,3.51,11.31,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2023,DEU,독일,1960255682616,1779045873341,181209809275,2.26,-1.88,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2024,DEU,독일,1941431210622,1764438191611,176993019011,-0.96,-0.82,무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2019,VNM,베트남,284737397483,265976296626,18761100857,8.76,6.89,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2020,VNM,베트남,292479899129,273355953900,19123945229,2.72,2.77,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2021,VNM,베트남,343937314546,340182482326,3754832220,17.59,24.45,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2022,VNM,베트남,386241068015,370998835149,15242232866,12.30,9.06,수입 8% 이상 증가,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2023,VNM,베트남,375145540250,339930322254,35215217996,-2.87,-8.37,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2024,VNM,베트남,429484098196,398774124844,30709973353,14.48,17.31,수입 8% 이상 증가; 무역수지 악화,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
2019,MEX,멕시코,502467566320,507718819550,-5251253229,2.44,-1.83,특이 신호 없음,World Bank WDI NE.EXP.GNFS.CD / NE.IMP.GNFS.CD
